"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00055733","MONUMENT 3 S, CO US","2009-08-31",,,,,"0.02","0.0","0.0","60","49","49",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-01",,,,,"0.00","0.0","0.0","87","45","51",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-02",,,,,"0.00","0.0","0.0","87","45","51",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-03",,,,,"0.00","0.0","0.0","84","42","43",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-04",,,,,"0.00","0.0","0.0","83","42","48",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-05",,,,,"0.00","0.0","0.0","80","44","46",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-06",,,,,"0.00","0.0","0.0","78","45","51",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-07",,,,,"0.02","0.0","0.0","78","47","57",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-08",,,,,"0.00","0.0","0.0","81","49","52",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-09",,,,,"0.00","0.0","0.0","74","44","49",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-10",,,,,"0.00","0.0","0.0","75","43","44",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-11",,,,,"0.00","0.0","0.0","79","43","46",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-12",,,,,"0.00","0.0","0.0","69","38","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-13",,,,,"1.45","0.0","0.0","60","37","48",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-14",,,,,"0.02","0.0","0.0","62","44","46",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-15",,,,,"0.00","0.0","0.0","78","46","50",,,"    1","    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-16",,,,,"0.00","0.0","0.0","75","44","45",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-17",,,,,"0.00","0.0","0.0","63","40","42",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-18",,,,,"0.34","0.0","0.0","69","38","38",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-19",,,,,"0.00","0.0","0.0","69","36","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-20",,,,,"0.00","0.0","0.0","72","37","54",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-21",,,,,"0.05","0.0","0.0","78","43","46",,,,"    1",,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-22",,,,,"0.27","0.0","0.0","46","31","34",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-23",,,,,"0.00","0.0","0.0","46","30","40",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-24",,,,,"0.24","0.0","0.0","41","34","35",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-25",,,,,"0.10","0.0","0.0","56","35","37",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-26",,,,,"0.00","0.0","0.0","59","33","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-27",,,,,"0.00","0.0","0.0","79","38","61",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-28",,,,,"0.00","0.0","0.0","82","31","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-29",,,,,"0.00","0.0","0.0","60","31","60",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-09-30",,,,,"0.00","0.0","0.0","82","36","43",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-01",,,,,"0.00","0.0","0.0","73","36","36",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-02",,,,,"0.00","0.0","0.0","52","24","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-03",,,,,"0.00","0.0","0.0","56","23","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-04",,,,,"0.00","0.0","0.0","56","23","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-05",,,,,"0.00","0.0","0.0","52","28","44",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-06",,,,,"0.00","0.0","0.0","62","26","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-07",,,,,"0.00","0.0","0.0","55","24","35",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-08",,,,,"0.00","0.0","0.0","72","33","33",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-09",,,,,"0.01","0.0","0.0","36","25","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-10",,,,,"0.00","0.0","0.0","50","17","17",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-11",,,,,"0.00","0.0","0.0","20","16","16",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-12",,,,,"0.00","0.0","0.0","28","15","20",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-13",,,,,"0.01","0.0","0.0","54","19","32",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-14",,,,,"0.01","0.0","0.0","51","31","38",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-15",,,,,"0.00","0.0","0.0","73","36","37",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-16",,,,,"0.00","0.0","0.0","64","27","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-17",,,,,"0.00","0.0","0.0","60","25","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-18",,,,,"0.00","0.0","0.0","60","25","60",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-19",,,,,"0.00","0.0","0.0","80","42","43",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-20",,,,,"0.00","0.0","0.0","75","39","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-21",,,,,"0.21","0.5","0.0","63","30","30",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-22",,,,,"0.33","2.7","3.0","30","27","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-23",,,,,"0.00","0.0","1.0","42","24","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-24",,,,,"0.00","0.0",,"50","26","34",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-25",,,,,"0.00","0.0",,"64","34","34",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-26",,,,,"0.23","3.2","3.0","34","14","14",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-27",,,,,"0.00","0.0",,"44","11","42",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-28",,,,,"0.00","0.0","0.0","56","25","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-29",,,,,"0.34","6.7","7.0","27","19","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-30",,,,,"0.33","3.5","10.0","21","11","15",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-10-31",,,,,"0.00","0.0","5.0","47","15","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-01",,,,,"0.00","0.0","0.0","61","28","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-02",,,,,"0.00","0.0","0.0","60","26","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-03",,,,,"0.00","0.0","0.0","52","26","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-04",,,,,"0.00","0.0","0.0","68","25","26",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-05",,,,,"0.00","0.0","0.0","54","23","53",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-06",,,,,"0.00","0.0","0.0","73","40","50",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-07",,,,,"0.00","0.0","0.0","70","39","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-08",,,,,"0.00","0.0","0.0","64","36","52",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-09",,,,,"0.00","0.0","0.0","56","27","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-10",,,,,"0.00","0.0","0.0","51","23","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-11",,,,,"0.00","0.0","0.0","58","24","50",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-12",,,,,"0.00","0.0","0.0","62","31","50",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-13",,,,,"0.00","0.0","0.0","66","38","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-14",,,,,"0.00","0.0","0.0","53","29","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-15",,,,,"0.65","5.7","6.0","32","22","22",,,"    1",,,,"    1",
"USC00055733","MONUMENT 3 S, CO US","2009-11-16",,,,,"0.12","0.0","6.0","26","7","10",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-17",,,,,"0.00","0.0","3.0","39","10","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-18",,,,,"0.00","0.0","1.0","49","16","28",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-19",,,,,"0.00","0.0",,"60","27","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-20",,,,,"0.00","0.0",,"42","18","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-21",,,,,"0.00","0.0","0.0","50","18","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-22",,,,,"0.00","0.0","0.0","59","20","23",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-23",,,,,"0.00","0.0","0.0","44","19","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-24",,,,,"0.04","0.4","0.0","35","9","10",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-25",,,,,"0.00","0.0","0.0","46","9","28",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-26",,,,,"0.00","0.0","0.0","42","20","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-27",,,,,"0.00","0.0","0.0","58","31","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-28",,,,,"0.00","0.0","0.0","64","30","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-29",,,,,"0.00","0.0","0.0","52","25","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-11-30",,,,,"0.00","0.0","0.0","41","16","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-01",,,,,"0.00","0.0","0.0","51","17","32",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-02",,,,,"0.02","0.2","0.0","53","12","12",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-03",,,,,"0.05","1.1","1.0","15","2","4",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-04",,,,,"0.01","0.0","1.0","10","-11","-4",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-05",,,,,"0.00","0.0","1.0","33","-9","18",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-06",,,,,"0.01","0.0","1.0","39","11","12",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-07",,,,,"0.00","0.0",,"14","3","3",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-08",,,,,"0.00","0.0",,"8","-6","-5",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-09",,,"0.15",,,"0.0","2.0","4","-19","-17",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-10",,,,,"0.00","0.0","1.0","24","-18","6",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-11",,,,,"0.00","0.0","1.0","24","-2","10",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-12",,,,,"0.00","0.0","1.0","42","4","33",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-13",,,,,"0.00","0.0","1.0","46","30","38",,,,,,,,"    1"
"USC00055733","MONUMENT 3 S, CO US","2009-12-14",,,,,,,,"49","30","32",,,,,,,,"    1"
"USC00055733","MONUMENT 3 S, CO US","2009-12-15",,,,,,"0.0","0.0","43","22","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-16",,,,,,"0.0","0.0","49","16","45",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-17",,,,,,"0.0","0.0","54","30","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-18",,,,,,"0.0","0.0","47","17","21",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-19",,,,,"0.00","0.0","0.0","36","9",,,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-20",,,,,"0.00","0.0","0.0","42","9","23",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-21",,,,,,"0.0","0.0","46","23","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-22",,,,,,"0.0","0.0","57","24","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-23",,,,,,,,"36","21","21",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-24",,,,,,,,"27","2","5",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-25",,,,,,"0.0",,"21","2","10",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-26",,,,,,"0.0",,"22","9","10",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-27",,,,,,"0.0",,"28","8","8",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-28",,,,,"0.00","0.0",,"31","3","14",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-29",,,,,,"0.0",,"36","3","14",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-30",,,,,,"0.0",,"41","14","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2009-12-31",,,,,,"0.0",,"32","8","11",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-01",,,,,,"0.0","0.0","36","7","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-02",,,,,,"0.0","0.0","40","15","36",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-03",,,,,,,"0.0","44","15","18",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-04",,,,,,"0.0","0.0","34","6","8",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-05",,,,,,"0.0","0.0","37","8","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-06",,,,,,"0.0","0.0","51","18","35",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-07",,,,,,,,"41","-7","-7",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-08",,,,,,"0.0",,"19","-10","-9",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-09",,,,,,"0.0","0.0","37","-9","12",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-10",,,,,,"0.0","0.0","47","11","23",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-11",,,,,,"0.0","0.0","49","14","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-12",,,,,,"0.0","0.0","51","15","39",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-13",,,,,,"0.0","0.0","61","25","38",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-14",,,,,,"0.0","0.0","56","23","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-15",,,,,,"0.0","0.0","47","19","21",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-16",,,,,,"0.0","0.0","45","14","26",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-17",,,,,,"0.0","0.0","56","16","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-18",,,,,,"0.0","0.0","52","18","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-19",,,,,,"0.0","0.0","51","23","36",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-20",,,,,,,,"46","16","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-21",,,,,,"0.0","0.0","34","16","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-22",,,,,,"0.0","0.0","40","18","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-23",,,,,,"0.0","0.0","52","25","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-24",,,,,,"0.0","0.0","42","22","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-25",,,,,,"0.0","0.0","40","22","22",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-26",,,,,,"0.0","0.0","39","6","7",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-27",,,,,,"0.0","0.0","38","6","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-28",,,,,,,,"45","17","22",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-29",,,,,,,,"23","18","19",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-30",,,,,,"0.0",,"39","12","15",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-01-31",,,,,,"0.0","0.0","44","11","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-01",,,,,,"0.0","0.0","42","15","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-02",,,,,,"0.0","0.0","45","9","9",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-03",,,,,,"0.0","0.0","41","7","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-04",,,,,,,,"46","21","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-05",,,,,,"0.0",,"40","24","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-06",,,,,,"0.0",,"46","12","17",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-07",,,,,,"0.0","0.0","47","14","21",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-08",,,,,,,,"30","15","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-09",,,,,,,,"20","8","9",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-10",,,,,,,,"27","3","23",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-11",,,,,,"0.0",,"43","13","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-12",,,,,,"0.0",,"42","9","17",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-13",,,,,,"0.0","0.0","45","9","33",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-14",,,,,,,,"44","11","13",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-15",,,,,,,,"22","1","1",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-16",,,,,,"0.0","0.0","34","1","4",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-17",,,,,,"0.0","0.0","39","3","13",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-18",,,,,,"0.0","0.0","43","11","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-19",,,,,,,"0.0","41","16","17",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-20",,,"0.16",,,"1.9",,"26","17","21",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-21",,,,,,,,"22","14","14",,,"    1",,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-22",,,,,,,,"21","3","3",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-23",,,,,,,,"22","-2","8",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-24",,,,,,,,"38","1","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-25",,,,,"0.00","0.0",,"47","20","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-26",,,,,"0.00","0.0",,"38","6","10",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-27",,,,,"0.00","0.0",,"39","5","15",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-02-28",,,,,,"0.0",,"44","12","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-01",,,,,,"0.0","0.0","40","24","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-02",,,,,,"0.0","0.0","40","19","22",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-03",,,"0.20",,,"0.0","0.0","50","19","22",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-04",,,,,,"0.0","0.0","54","19","35",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-05",,,,,,"0.0","0.0","52","23","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-06",,,,,,"0.0","0.0","46","23","32",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-07",,,,,,"0.0","0.0","53","26","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-08",,,,,,,,"47","25","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-09",,,,,,,,"41","29","31",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-10",,,,,,,,"47","25","28",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-11",,,,,,,,"43","22","24",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-12",,,,,,,,"41","21","28",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-13",,,,,,"0.0","0.0","52","18","18",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-14",,,,,,"0.0","0.0","54","17","29",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-15",,,,,,,,"35","24","25",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-16",,,,,,"0.0",,"44","20","26",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-17",,,,,,"0.0","0.0","56","26","30",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-18",,,,,,"0.0","0.0","64","26","27",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-19",,,,,,,,"66","26","26",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-20",,,,,,,,"26","6","6",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-21",,,,,,"0.0",,"31","3","20",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-22",,,,,,"0.0",,"55","18","41",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-23",,,,,,"0.0","0.0","63","31","32",,,,,,,,
"USC00055733","MONUMENT 3 S, CO US","2010-03-24",,,,,,,,"47","22","22",,,,,,,,
